iter	Passed	Remaining
0	148	147900
1	149	74483
2	150	50001
3	151	37748
4	152	30402
5	153	25478
6	154	21955
7	155	19304
8	156	17246
9	157	15613
10	158	14263
11	159	13165
12	160	12219
13	161	11402
14	162	10688
15	163	10059
16	164	9505
17	165	9011
18	166	8572
19	166	8174
20	167	7814
21	168	7489
22	169	7189
23	170	6916
24	170	6663
25	171	6442
26	173	6241
27	174	6044
28	174	5855
29	175	5680
30	176	5516
31	177	5363
32	178	5219
33	178	5083
34	179	4955
35	180	4834
36	181	4719
37	182	4610
38	182	4507
39	183	4409
40	184	4316
41	185	4229
42	186	4148
43	187	4068
44	188	3991
45	188	3917
46	189	3846
47	190	3777
48	191	3711
49	192	3648
50	192	3588
51	193	3530
52	194	3474
53	195	3421
54	196	3369
55	196	3318
56	197	3270
57	198	3224
58	199	3178
59	200	3145
60	201	3104
61	202	3063
62	203	3023
63	204	2985
64	204	2948
65	205	2912
66	206	2876
67	206	2836
68	207	2803
69	208	2771
70	209	2739
71	210	2709
72	211	2679
73	211	2650
74	212	2622
75	213	2594
76	214	2570
77	215	2545
78	216	2519
79	216	2494
80	217	2469
81	218	2446
82	219	2423
83	220	2401
84	220	2376
85	221	2354
86	222	2330
87	222	2310
88	223	2290
89	224	2270
90	225	2251
91	226	2233
92	227	2217
93	228	2202
94	229	2185
95	230	2168
96	231	2150
97	231	2133
98	232	2117
99	233	2101
100	234	2085
101	234	2066
102	235	2051
103	236	2036
104	237	2022
105	238	2008
106	238	1993
107	239	1980
108	240	1967
109	241	1953
110	242	1942
111	243	1930
112	244	1919
113	245	1906
114	246	1894
115	246	1880
116	247	1868
117	248	1856
118	249	1844
119	249	1832
120	250	1821
121	251	1810
122	251	1796
123	253	1788
124	254	1778
125	255	1769
126	255	1759
127	256	1748
128	257	1739
129	258	1730
130	259	1720
131	260	1710
132	260	1701
133	261	1692
134	262	1683
135	263	1674
136	264	1665
137	264	1655
138	265	1647
139	266	1638
140	267	1631
141	268	1624
142	269	1616
143	270	1610
144	271	1602
145	272	1596
146	273	1589
147	274	1582
148	275	1575
149	276	1568
150	277	1561
151	278	1555
152	279	1549
153	280	1542
154	281	1536
155	282	1529
156	283	1523
157	284	1518
158	285	1512
159	286	1505
160	287	1499
161	288	1493
162	289	1487
163	290	1482
164	291	1477
165	292	1471
166	293	1466
167	295	1461
168	296	1455
169	297	1450
170	298	1446
171	299	1441
172	300	1435
173	301	1429
174	301	1423
175	302	1418
176	303	1412
177	305	1409
178	306	1404
179	307	1399
180	307	1392
181	308	1387
182	309	1382
183	310	1378
184	311	1374
185	313	1369
186	313	1365
187	314	1360
188	315	1355
189	316	1351
190	318	1348
191	319	1344
192	320	1340
193	321	1336
194	322	1333
195	324	1329
196	325	1324
197	326	1321
198	327	1318
199	328	1313
200	329	1309
201	330	1305
202	331	1302
203	332	1298
204	333	1294
205	334	1290
206	335	1286
207	336	1282
208	337	1278
209	338	1275
210	340	1271
211	341	1268
212	342	1264
213	343	1260
214	344	1256
215	345	1253
216	346	1249
217	347	1246
218	348	1242
219	349	1239
220	350	1235
221	351	1232
222	352	1228
223	353	1225
224	354	1222
225	355	1218
226	357	1217
227	358	1213
228	359	1209
229	359	1205
230	360	1200
231	361	1196
232	362	1193
233	363	1189
234	364	1186
235	365	1182
236	366	1179
237	367	1175
238	368	1173
239	369	1169
240	370	1166
241	371	1162
242	371	1158
243	372	1154
244	373	1150
245	374	1147
246	375	1143
247	375	1139
248	376	1136
249	377	1132
250	378	1128
251	379	1125
252	379	1121
253	380	1117
254	381	1114
255	382	1111
256	383	1108
257	384	1105
258	385	1102
259	386	1099
260	387	1095
261	387	1092
262	388	1089
263	389	1085
264	390	1082
265	391	1079
266	392	1076
267	392	1073
268	393	1070
269	394	1067
270	395	1064
271	396	1062
272	397	1059
273	398	1056
274	399	1053
275	400	1050
276	401	1047
277	401	1044
278	402	1040
279	403	1037
280	404	1034
281	405	1031
282	406	1028
283	406	1025
284	407	1022
285	408	1019
286	409	1016
287	410	1014
288	411	1012
289	412	1010
290	413	1008
291	414	1005
292	416	1003
293	417	1001
294	418	999
295	418	996
296	419	993
297	420	990
298	421	987
299	422	984
300	422	981
301	423	979
302	424	977
303	425	974
304	426	972
305	427	969
306	428	966
307	429	964
308	429	961
309	430	958
310	431	956
311	432	953
312	433	950
313	433	948
314	434	945
315	435	942
316	436	940
317	437	938
318	438	936
319	439	934
320	440	931
321	441	929
322	442	926
323	443	924
324	443	921
325	444	919
326	445	916
327	446	914
328	447	911
329	447	909
330	448	907
331	449	904
332	450	902
333	451	899
334	452	897
335	453	895
336	454	894
337	455	892
338	456	889
339	457	887
340	458	885
341	459	883
342	460	881
343	461	879
344	462	877
345	463	876
346	464	874
347	465	872
348	466	869
349	467	867
350	468	865
351	468	863
352	469	860
353	470	858
354	471	856
355	472	854
356	472	851
357	473	849
358	474	847
359	475	845
360	476	843
361	477	841
362	478	839
363	479	837
364	480	835
365	481	833
366	482	831
367	483	829
368	484	828
369	485	826
370	486	824
371	487	822
372	488	820
373	489	819
374	490	817
375	491	815
376	492	814
377	493	812
378	494	810
379	495	808
380	496	806
381	497	805
382	498	803
383	499	801
384	500	799
385	501	797
386	502	796
387	503	794
388	504	792
389	505	790
390	506	789
391	507	787
392	509	786
393	510	784
394	511	783
395	512	781
396	513	780
397	514	778
398	515	777
399	517	775
400	518	774
401	519	772
402	520	771
403	521	769
404	522	768
405	524	766
406	525	765
407	526	764
408	527	762
409	528	761
410	530	760
411	531	758
412	532	757
413	533	755
414	534	753
415	535	752
